Date,Equity,Cash,Return,Peak,Drawdown
2022-05-10,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-11,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-12,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-13,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-16,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-17,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-18,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-19,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-20,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-23,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-24,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-25,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-26,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-27,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-05-31,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-01,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-02,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-03,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-06,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-07,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-08,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-09,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-10,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-13,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-14,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-15,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-16,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-17,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-21,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-22,1108.2043578060884,1108.2043578060884,0.0,1159.5043062757286,-0.04424299952314375
2022-06-23,1111.676661974065,941.9737041351751,0.0031332706314659564,1159.5043062757286,-0.041248354182731525
2022-06-24,1111.998087799443,833.7574964805488,0.00028913607379976725,1159.5043062757286,-0.04097114449611076
2022-06-27,1115.15129672574,833.7574964805488,0.0028356244141902742,1159.5043062757286,-0.03825169885953107
2022-06-28,1112.9338934766922,833.7574964805488,-0.001988432650850469,1159.5043062757286,-0.04016407058341877
2022-06-29,1115.3343678494934,833.7574964805488,0.0021568885509475333,1159.5043062757286,-0.03809381145647216
