Entry Date,Exit Date,Ticker,PnL %,PnL $,Entry Price,Exit Price
2021-12-10,2021-12-31,XOM,-2.855037760176826,-4.902011847152975,54.29,52.74
2021-12-27,2022-01-14,GS,-1.8148976432134867,-2.171950150229807,348.78,342.45
2022-01-31,2022-02-01,MA,1.5510464251567102,1.7773445777304433,376.52,382.36
2022-01-28,2022-02-01,V,1.7615360231852506,2.9951166464850347,220.83,224.72
2022-02-01,2022-02-02,GOOGL,7.5755353476092635,12.924771439110177,136.36,146.69
2022-02-03,2022-02-11,AMD,-5.788772280526411,-0.30112022558387835,120.06,113.11
2022-02-01,2022-02-17,HD,-5.593665951467175,-9.543464667782459,330.91,312.4
2022-01-28,2022-02-18,JNJ,-4.296617976049477,-7.305483313581549,151.98,145.45
2022-02-01,2022-02-22,AAPL,-5.743223464668345,-9.79862771388148,170.81,161.0
2022-02-02,2022-02-23,NVDA,-11.349206349206343,-13.307545865115396,25.2,22.34
2022-02-08,2022-02-23,TSLA,-17.099052765209453,-20.457041186700195,307.21,254.68
2022-02-25,2022-03-08,MSFT,-7.3228373822681,-11.978425253093192,287.73,266.66
2022-03-03,2022-03-15,JNJ,4.564840730374509,7.42892406838732,150.06,156.91
2022-03-01,2022-03-22,TSLA,15.048425729857339,24.586782027610038,288.07,331.42
2022-03-17,2022-04-05,BAC,-6.747360288436766,-11.02486622060519,38.83,36.21
2022-03-17,2022-04-05,WFC,-6.496020649602075,-7.076126126033413,46.49,43.47
2022-03-16,2022-04-06,GOOGL,2.3822128110111196,3.864406823025377,132.23,135.38
2022-03-16,2022-04-06,MSFT,1.6778405700445864,2.7217797322133648,284.89,289.67
2022-03-16,2022-04-06,NVDA,-0.44971381847914715,-0.4863481383098255,24.46,24.35
2022-03-21,2022-04-11,PG,5.795706883789786,9.659672730417872,135.1,142.93
2022-06-22,2022-07-13,UNH,2.34475819681097,3.897706877561177,457.19,467.91
2022-06-23,2022-07-14,JNJ,-2.2111801242235996,-2.3928552748476406,161.0,157.44
2022-08-01,2022-08-11,JNJ,-3.9835781640900514,-6.630920062635806,155.89,149.68
2022-10-04,2022-10-06,XOM,7.111636148848199,11.767037156285735,84.65,90.67
2022-10-14,2022-10-24,UNH,5.400635368866924,9.031309651687705,481.61,507.62
2022-11-28,2022-12-19,UNH,-1.3680494263018539,-2.3062781809870896,498.52,491.7
2023-03-06,2023-03-10,MA,-5.40412880998028,-9.091666025913925,359.91,340.46
2023-03-22,2023-03-31,ORCL,5.716652858326432,9.539481741221142,84.49,89.32
2023-03-28,2023-04-03,XOM,8.416916554647912,14.092339633995179,96.71,104.85
2023-05-08,2023-05-16,AMD,6.7669964218059375,11.53208366764375,95.02,101.45
2023-05-30,2023-06-05,COST,1.9835995173922871,3.414694952292574,489.01,498.71
2023-05-31,2023-06-13,INTC,7.811993517017823,13.462296347984932,30.85,33.26
2023-06-02,2023-06-23,XOM,-3.156801661474551,-5.43664119552888,96.3,93.26
2023-07-20,2023-07-21,JNJ,1.0183036865171413,1.7704476570087722,155.16,156.74
2023-07-24,2023-08-11,XOM,5.9717020391177655,10.39840587683466,96.12,101.86
2023-08-22,2023-08-30,NVDA,7.911461757615612,13.899470743818455,45.63,49.24
2023-08-29,2023-09-13,NFLX,-4.13857242501744,-7.430852918156856,43.01,41.23
2023-09-06,2023-09-14,COST,3.331118914301978,6.0033529890708195,526.85,544.4
2023-08-25,2023-09-15,TSLA,15.04024144869216,26.453398394726097,238.56,274.44
2023-09-01,2023-09-21,AMD,-12.182416377261928,-21.815773303493728,109.42,96.09
2023-10-02,2023-10-18,NVDA,-5.82979673888766,-6.894559291744708,44.77,42.16
2023-09-29,2023-10-20,AMD,-0.9918319719953383,-1.7679822410521606,102.84,101.82
2023-10-09,2023-10-23,V,-1.2998869663507606,-2.3356394849027446,230.02,227.03
2023-10-06,2023-10-25,GOOGL,-8.711899179366933,-15.661557579679421,136.48,124.59
2023-10-19,2023-10-27,XOM,-6.572860447185825,-11.637075250017064,103.76,96.94
2023-10-19,2023-11-03,NFLX,7.642519293004724,8.799264665741262,40.17,43.24
2023-11-01,2023-11-07,AMD,5.00601462015362,5.729208768671187,108.07,113.48
2023-10-30,2023-11-07,AMZN,7.532389273877671,13.02098000502408,132.76,142.76
2023-10-31,2023-11-07,INTC,6.603510727222051,11.423284739382037,35.89,38.26
2023-11-06,2023-11-14,COST,3.701348257440862,6.548208948646535,550.34,570.71
2023-11-06,2023-11-14,META,6.470757155164142,11.447685265168964,313.41,333.69
2023-11-06,2023-11-15,JPM,3.9050479888636414,4.6104675651992455,136.49,141.82
2023-11-03,2023-11-20,MA,4.745638007147357,8.38949701691344,380.56,398.62
2023-11-08,2023-11-29,GOOGL,2.4250305997551846,2.888264124420744,130.72,133.89
2024-01-03,2024-01-12,UNH,-3.8233928985843657,-7.01356374554935,517.08,497.31
2024-01-26,2024-01-29,WFC,0.08380473496754082,0.152946210259342,47.73,47.77
2024-01-19,2024-01-31,AAPL,-3.723825096260347,-6.791742417655416,189.59,182.53
2024-03-13,2024-03-22,GOOGL,7.83818863570811,14.21771878562513,138.68,149.55
2024-05-02,2024-05-06,QCOM,0.9792559972186865,0.10828601579360614,172.58,174.27
2024-04-25,2024-05-10,JPM,2.7729823047043523,3.441693981184204,185.36,190.5
2024-04-23,2024-05-14,BAC,0.3276897870016615,0.6013861946243791,36.62,36.74
2024-04-29,2024-05-20,AMD,3.847954311394064,7.038817008465352,160.215,166.38
2024-05-06,2024-05-20,NFLX,7.319932998324941,13.423741589504987,59.7,64.07
2024-04-30,2024-05-21,NVDA,10.339238161398633,12.66496470672793,86.37,95.3
2024-05-07,2024-05-28,V,-1.7911543402459151,-0.025413541002959422,272.45,267.57
2024-05-08,2024-05-29,META,0.39627585913033503,0.47041473725644084,469.37,471.23
2024-06-07,2024-06-26,AMZN,5.120547350130322,9.687133610389584,184.16,193.59
2024-06-20,2024-07-11,WFC,2.011646373742715,3.811554399231339,56.67,57.81
2024-06-24,2024-07-15,XOM,1.0039973970437988,1.9020666174091236,107.57,108.65
2024-07-08,2024-07-24,MA,-2.9575867543660594,-3.7671823500233104,440.9,427.86
2024-07-30,2024-08-05,MA,-1.252623738912595,-2.39159241452269,443.07,437.52
2024-08-09,2024-08-16,NFLX,6.308153288124907,12.024849725406376,63.41,67.41
2024-07-31,2024-08-21,V,1.1596414266641375,1.4146161073757262,262.15,265.19
2024-08-15,2024-08-23,JPM,3.223274297208456,0.18002650164291278,203.83,210.4
2024-08-05,2024-08-26,PG,1.3714000748036526,2.60466088133089,160.42,162.62
2024-08-14,2024-09-04,AAPL,-0.4087193460490357,-0.7833841080974863,220.2,219.3
2024-08-14,2024-09-04,MSFT,-1.7100878153202381,-2.1851271635382785,411.09,404.06
2024-08-15,2024-09-05,AMZN,0.15766653527788943,0.3036458019224124,177.59,177.87
2024-08-15,2024-09-05,GS,-1.6362426712129396,-3.151196397919472,480.98,473.11
2024-08-16,2024-09-06,GOOGL,-7.402372713791394,-14.320661671890415,161.84,149.86
2024-09-19,2024-10-03,XOM,5.631120783460286,10.739934853568643,110.28,116.49
2024-09-16,2024-10-07,GOOGL,3.137729124236266,5.961089651590222,157.12,162.05
2024-09-19,2024-10-10,GS,0.032723182329497114,0.0624111717604067,488.95,489.11
2024-09-20,2024-10-11,AAPL,-0.4492204703602565,-0.8556896833577753,227.06,226.04
2024-09-20,2024-10-11,WFC,8.351688693098392,10.758210073979484,54.48,59.03
2024-10-24,2024-10-25,TSLA,3.3323095823095894,6.447659002623509,260.48,269.16
2024-10-15,2024-10-30,PG,-3.6513971875188678,-7.083013449622871,165.69,159.64
2024-11-13,2024-11-22,PG,5.820932849818683,11.299121694429639,159.94,169.25
2024-11-11,2024-11-25,HD,4.910124911140468,9.512459347181352,393.88,413.22
2024-11-07,2024-11-29,XOM,-1.7458525145487624,-3.3849567219489316,115.13,113.12
2024-11-29,2024-12-03,META,6.794927853082644,13.352006005294482,571.75,610.6
